Value,Name,Reference
0x0000,Reserved,[RFC5389]
0x0001,MAPPED-ADDRESS,[RFC5389]
0x0002,Reserved; was RESPONSE-ADDRESS,[RFC5389]
0x0003,CHANGE-REQUEST,[RFC5780]
0x0004,Reserved; was SOURCE-ADDRESS,[RFC5389]
0x0005,Reserved; was CHANGED-ADDRESS,[RFC5389]
0x0006,USERNAME,[RFC5389]
0x0007,Reserved; was PASSWORD,[RFC5389]
0x0008,MESSAGE-INTEGRITY,[RFC5389]
0x0009,ERROR-CODE,[RFC5389]
0x000A,UNKNOWN-ATTRIBUTES,[RFC5389]
0x000B,Reserved; was REFLECTED-FROM,[RFC5389]
0x000C,CHANNEL-NUMBER,[RFC5766]
0x000D,LIFETIME,[RFC5766]
0x000E-0x000F,Reserved,
0x0010,Reserved (was BANDWIDTH),[RFC5766]
0x0011,Reserved,
0x0012,XOR-PEER-ADDRESS,[RFC5766]
0x0013,DATA,[RFC5766]
0x0014,REALM,[RFC5389]
0x0015,NONCE,[RFC5389]
0x0016,XOR-RELAYED-ADDRESS,[RFC5766]
0x0017,REQUESTED-ADDRESS-FAMILY,[RFC6156]
0x0018,EVEN-PORT,[RFC5766]
0x0019,REQUESTED-TRANSPORT,[RFC5766]
0x001A,DONT-FRAGMENT,[RFC5766]
0x001B,ACCESS-TOKEN,[RFC7635]
0x001C-0x001F,Unassigned,
0x0020,XOR-MAPPED-ADDRESS,[RFC5389]
0x0021,Reserved (was TIMER-VAL),[RFC5766]
0x0022,RESERVATION-TOKEN,[RFC5766]
0x0023,Reserved,
0x0024,PRIORITY,[RFC8445]
0x0025,USE-CANDIDATE,[RFC8445]
0x0026,PADDING,[RFC5780]
0x0027,RESPONSE-PORT,[RFC5780]
0x0028-0x0029,Reserved,
0x002A,CONNECTION-ID,[RFC6062]
0x002B-0x002F,Unassigned,
0x0030,Reserved,
0x0031-0x7FFF,Unassigned,
0x8000-0x8021,Unassigned,
0x8022,SOFTWARE,[RFC5389]
0x8023,ALTERNATE-SERVER,[RFC5389]
0x8024,Reserved,
0x8025,TRANSACTION_TRANSMIT_COUNTER,[RFC7982]
0x8026,Reserved,
0x8027,CACHE-TIMEOUT,[RFC5780]
0x8028,FINGERPRINT,[RFC5389]
0x8029,ICE-CONTROLLED,[RFC8445]
0x802A,ICE-CONTROLLING,[RFC8445]
0x802B,RESPONSE-ORIGIN,[RFC5780]
0x802C,OTHER-ADDRESS,[RFC5780]
0x802D,ECN-CHECK STUN,[RFC6679]
0x802E,THIRD-PARTY-AUTHORIZATION,[RFC7635]
0x802F,Unassigned,
0x8030,MOBILITY-TICKET,[RFC8016]
0x8031-0xBFFF,Unassigned,
0xC000,CISCO-STUN-FLOWDATA,[Dan_Wing]
0xC001,ENF-FLOW-DESCRIPTION,[Pål_Erik_Martinsen]
0xC002,ENF-NETWORK-STATUS,[Pål_Erik_Martinsen]
0xC003-0xFFFF,Unassigned,
